category,vehicle_no,vehicle_type,vehicle_make,vehicle_model
Contractual ,DL1N7405,HatchBack,Swift,2015
Contractual ,DL1N6589,HatchBack,Swift,2015
Contractual ,UP72AT2592,HatchBack,Swift,2015
Contractual ,DL1N9183,HatchBack,Swift,2015
Contractual ,DL1Z2333,HatchBack,Swift,2016
Contractual ,DL1N3957,HatchBack,Liva,2016
Contractual ,DL1ZB2272,HatchBack,Liva,2016
Contractual ,DL1ZB2292,HatchBack,Santro,2016
Contractual ,UP72AT2927,HatchBack,Santro,2016
Contractual ,DL1ZB2259,Sedan,Dezire,2016
Daily Running,HR38X-9721,Sedan,Dezire,2016
Daily Running,DL1NA1841,Sedan,Dezire,2015
Daily Running,HR38X-5738,Sedan,Dezire,2015
Daily Running,DL1N7403,Sedan,Dezire,2015
Daily Running,DL1CZ8711,Sedan,Dezire,2015
Daily Running,DL1N7595,Sedan,Dezire,2017
Daily Running,DL1N6153,Sedan,Dezire,2017
Daily Running,HR39D-9903,Sedan,Amaze,2017
Daily Running,DL1YC0917,Sedan,Amaze,2017
Daily Running,DL1N7407,Sedan,Amaze,2017
Daily Running,DL1N6591,Sedan,Amaze,2017
Daily Running,DL1N9858,Sedan,Amaze,2017
Daily Running,DL1N6586,Sedan,Amaze,2017
Daily Running,DL1Z2334,Sedan,Amaze,2017
Contractual ,HR38X-0405,Sedan,Amaze,2016
Contractual ,DL1PBC2178,SUV,Innova,2017
Contractual ,HR3D1905,SUV,Innova,2018
Contractual ,DL1N6154,SUV,Innova,2018
Contractual ,DL1N7554,HatchBack,Liva,2018
Daily Running,DL1N7406,HatchBack,Liva,2018
Daily Running,DL1YC0916,HatchBack,Swift,2018
Daily Running,DL1N7404,HatchBack,Swift,2018
Contractual ,DL1NA2358,HatchBack,Swift,2018
Contractual ,DL1N6590,HatchBack,Swift,2018
Daily Running,DL1NA2343,HatchBack,Swift,2016
Daily Running,DL1N6668,HatchBack,Liva,2016
Daily Running,DL1N7552,HatchBack,Liva,2016
Contractual ,DL1N7551,Sedan,Dezire,2016
Contractual ,DL1ZB2249,Sedan,Dezire,2016
Contractual ,DL1N6588,Sedan,Dezire,2016
Contractual ,DL1N3960,Sedan,Amaze,2016
Contractual ,DL1VC2729,Sedan,Amaze,2017
Daily Running,DL1N7402,Sedan,Amaze,2017
Daily Running,HR39D8928,Sedan,Amaze,2017
Hotels,DL1N6593,SUV,Fortuner,2017
Hotels,HR39D-1232,SUV,Fortuner,2016
Hotels,DL1N7553,SUV,Fortuner,2017
Hotels,HR39D-3081,SUV,Fortuner,2018
Hotels,DL1ZB2276,SUV,Fortuner,2018
Hotels,DL1CZ8660,Luxury,Mercedes,2018
Contractual ,HR38X-1986,Luxury,Mercedes,2018
Contractual ,DL1N3958,Luxury,Mercedes,2018
Contractual ,UP72AT2603,Luxury,Mercedes,2018
Contractual ,DL1N6592,Luxury,Mercedes,2017
Contractual ,DL1N6587,Luxury,BMW,2017
Hotels,HR39D9028,Luxury,BMW,2016
Hotels,DL1N6594,Luxury,BMW,2017
Hotels,UP72AT2602,Luxury,BMW,2018
Hotels,DL1YC2730,Luxury,BMW,2018
Hotels,HR39D-5627,Luxury,Audi,2018
Hotels,DL1NA1845,Luxury,Audi,2018